Gene,CTL_1,CTL_2,TGFb_1,TGFb_2
HS.547732,6.729777716,6.846967998,6.471443922,6.981666902
COG2,9.61262697,9.449464934,9.518149478,9.389376323
JSRP1,6.669781764,6.541842788,6.409853829,6.673994964
KLHL30,6.716875506,6.572350966,6.457749873,6.413843843
HS.438857,6.475633123,6.356723219,6.21399931,6.421533517
CHP2,6.828037554,6.489588538,6.579301259,6.379151695
CBLN2,6.372867817,6.298141435,6.10967864,6.367559696
LOC645262,6.781027226,6.588910614,6.526475491,6.531156501
SELO,9.69319469,9.805475713,9.598919099,9.548780055
CTPS2,8.09711562,8.317704938,7.958166127,8.074984056
OR2L3,6.745811003,6.588246465,6.488139046,6.715795648
PAPD5,8.346243801,8.332977948,8.235980662,8.44009088
C1ORF176,9.635501657,9.565889357,9.539403979,9.487331352
HS.582529,6.621060016,6.477869986,6.361177241,6.442711719
CXORF38,9.114772829,9.215931192,9.00314199,9.045271422
SETD2,10.76694854,10.80657881,10.64685566,10.45732854
HS.549963,6.650498879,6.52748539,6.39042752,6.502045394
STT3B,10.43912961,9.915981478,10.33735809,10.44278657
HS6ST1,6.931861908,6.834713336,6.695577147,6.887493356
SLC4A1,6.368939503,6.236095998,6.104480025,6.305579093
LOC652185,6.774825079,6.578321971,6.520264467,6.524719238
SP140L,7.484597403,7.414190725,7.31833461,7.265051018
CDRT15P,6.689063049,6.427661001,6.427573915,6.573447552
